overall,player_beta,player_name,bye_week,position_beta,position,team,Min,min_pos,adp_beta,adp,Max,max_pos
47,George Pickens (10),George Pickens,10,WR21,WR,DAL,37 (4.1),4.1,49 (5.1),5.1,57 (5.9),5.9
48,RJ Harvey (12),RJ Harvey,12,RB20,RB,DEN,27 (3.3),3.3,49 (5.1),5.1,61 (6.1),6.1
49,Courtland Sutton (12),Courtland Sutton,12,WR22,WR,DEN,44 (4.8),4.8,50 (5.2),5.2,63 (6.3),6.3
50,DK Metcalf (5),DK Metcalf,5,WR23,WR,PIT,41 (4.5),4.5,50 (5.2),5.2,67 (6.7),6.7
51,Terry McLaurin (12),Terry McLaurin,12,WR24,WR,WAS,39 (4.3),4.3,51 (5.3),5.3,63 (6.3),6.3
52,DJ Moore (5),DJ Moore,5,WR25,WR,CHI,43 (4.7),4.7,52 (5.4),5.4,63 (6.3),6.3
53,Emeka Egbuka (9),Emeka Egbuka,9,WR26,WR,TB,44 (4.8),4.8,53 (5.5),5.5,62 (6.2),6.2
54,Joe Burrow (10),Joe Burrow,10,QB5,QB,CIN,37 (4.1),4.1,53 (5.5),5.5,71 (6.11),6.11
55,James Conner (8),James Conner,8,RB21,RB,ARI,46 (4.10),4.10,54 (5.6),5.6,65 (6.5),6.5
56,Calvin Ridley (10),Calvin Ridley,10,WR27,WR,TEN,51 (5.3),5.3,55 (5.7),5.7,62 (6.2),6.2
57,Sam LaPorta (8),Sam LaPorta,8,TE4,TE,DET,48 (4.12),4.12,57 (5.9),5.9,66 (6.6),6.6
58,DeVonta Smith (9),DeVonta Smith,9,WR28,WR,PHI,49 (5.1),5.1,57 (5.9),5.9,66 (6.6),6.6
59,Jameson Williams (8),Jameson Williams,8,WR29,WR,DET,52 (5.4),5.4,58 (5.10),5.10,65 (6.5),6.5
60,D’Andre Swift (5),D’Andre Swift,5,RB22,RB,CHI,51 (5.3),5.3,63 (6.3),6.3,72 (6.12),6.12
61,Isiah Pacheco (10),Isiah Pacheco,10,RB23,RB,KC,40 (4.4),4.4,63 (6.3),6.3,75 (7.3),7.3
62,Ricky Pearsall (14),Ricky Pearsall,14,WR30,WR,SF,53 (5.5),5.5,63 (6.3),6.3,69 (6.9),6.9
63,Zay Flowers (7),Zay Flowers,7,WR31,WR,BAL,49 (5.1),5.1,63 (6.3),6.3,74 (7.2),7.2
64,Jaylen Waddle (12),Jaylen Waddle,12,WR32,WR,MIA,57 (5.9),5.9,64 (6.4),6.4,72 (6.12),6.12
65,Travis Hunter (8),Travis Hunter,8,WR33,WR,JAC,49 (5.1),5.1,64 (6.4),6.4,73 (7.1),7.1
66,T.J. Hockenson (6),T.J. Hockenson,6,TE5,TE,MIN,54 (5.6),5.6,64 (6.4),6.4,74 (7.2),7.2
67,Travis Kelce (10),Travis Kelce,10,TE6,TE,KC,52 (5.4),5.4,66 (6.6),6.6,77 (7.5),7.5
68,Rashee Rice (10),Rashee Rice,10,WR34,WR,KC,42 (4.6),4.6,66 (6.6),6.6,74 (7.2),7.2
69,Tyler Warren (11),Tyler Warren,11,TE7,TE,IND,57 (5.9),5.9,67 (6.7),6.7,81 (7.9),7.9
70,Tony Pollard (10),Tony Pollard,10,RB24,RB,TEN,59 (5.11),5.11,67 (6.7),6.7,73 (7.1),7.1
71,Jerry Jeudy (9),Jerry Jeudy,9,WR35,WR,CLE,61 (6.1),6.1,72 (6.12),6.12,89 (8.5),8.5
72,Evan Engram (12),Evan Engram,12,TE8,TE,DEN,63 (6.3),6.3,75 (7.3),7.3,83 (7.11),7.11
73,Chris Olave (11),Chris Olave,11,WR36,WR,NO,68 (6.8),6.8,76 (7.4),7.4,86 (8.2),8.2
74,Matthew Golden (5),Matthew Golden,5,WR37,WR,GB,53 (5.5),5.5,76 (7.4),7.4,84 (7.12),7.12
75,David Njoku (9),David Njoku,9,TE9,TE,CLE,66 (6.6),6.6,77 (7.5),7.5,86 (8.2),8.2
76,Rome Odunze (5),Rome Odunze,5,WR38,WR,CHI,67 (6.7),6.7,77 (7.5),7.5,92 (8.8),8.8
77,David Montgomery (8),David Montgomery,8,RB25,RB,DET,66 (6.6),6.6,77 (7.5),7.5,84 (7.12),7.12
78,Jakobi Meyers (8),Jakobi Meyers,8,WR39,WR,LV,69 (6.9),6.9,78 (7.6),7.6,90 (8.6),8.6
79,Aaron Jones (6),Aaron Jones,6,RB26,RB,MIN,64 (6.4),6.4,78 (7.6),7.6,96 (8.12),8.12
80,Mark Andrews (7),Mark Andrews,7,TE10,TE,BAL,69 (6.9),6.9,79 (7.7),7.7,88 (8.4),8.4
81,Tyrone Tracy (14),Tyrone Tracy,14,RB27,RB,NYG,66 (6.6),6.6,83 (7.11),7.11,95 (8.11),8.11
82,Stefon Diggs (14),Stefon Diggs,14,WR40,WR,NE,70 (6.10),6.10,83 (7.11),7.11,94 (8.10),8.10
83,Deebo Samuel (12),Deebo Samuel,12,WR41,WR,WAS,73 (7.1),7.1,83 (7.11),7.11,91 (8.7),8.7
84,Patrick Mahomes (10),Patrick Mahomes,10,QB6,QB,KC,69 (6.9),6.9,84 (7.12),7.12,102 (9.6),9.6
85,Zach Charbonnet (8),Zach Charbonnet,8,RB28,RB,SEA,74 (7.2),7.2,85 (8.1),8.1,92 (8.8),8.8
86,Jaylen Warren (5),Jaylen Warren,5,RB29,RB,PIT,78 (7.6),7.6,86 (8.2),8.2,95 (8.11),8.11
87,Jordan Mason (6),Jordan Mason,6,RB30,RB,MIN,74 (7.2),7.2,88 (8.4),8.4,101 (9.5),9.5
88,Jordan Addison (6),Jordan Addison,6,WR42,WR,MIN,71 (6.11),6.11,88 (8.4),8.4,95 (8.11),8.11
89,Kaleb Johnson (5),Kaleb Johnson,5,RB31,RB,PIT,70 (6.10),6.10,89 (8.5),8.5,99 (9.3),9.3
90,Jacory Croskey-Merritt (12),Jacory Croskey-Merritt,12,RB32,RB,WAS,63 (6.3),6.3,90 (8.6),8.6,113 (10.5),10.5
91,Tucker Kraft (5),Tucker Kraft,5,TE11,TE,GB,81 (7.9),7.9,90 (8.6),8.6,103 (9.7),9.7
92,Colston Loveland (5),Colston Loveland,5,TE12,TE,CHI,76 (7.4),7.4,91 (8.7),8.7,104 (9.8),9.8
93,Jauan Jennings (14),Jauan Jennings,14,WR43,WR,SF,79 (7.7),7.7,91 (8.7),8.7,101 (9.5),9.5
94,Travis Etienne (8),Travis Etienne,8,RB33,RB,JAC,76 (7.4),7.4,93 (8.9),8.9,104 (9.8),9.8
95,Jake Ferguson (10),Jake Ferguson,10,TE13,TE,DAL,81 (7.9),7.9,96 (8.12),8.12,116 (10.8),10.8
96,Michael Pittman (11),Michael Pittman,11,WR44,WR,IND,89 (8.5),8.5,98 (9.2),9.2,108 (9.12),9.12
97,J.K. Dobbins (12),J.K. Dobbins,12,RB34,RB,DEN,85 (8.1),8.1,98 (9.2),9.2,108 (9.12),9.12
98,Keon Coleman (7),Keon Coleman,7,WR45,WR,BUF,92 (8.8),8.8,100 (9.4),9.4,112 (10.4),10.4
99,Khalil Shakir (7),Khalil Shakir,7,WR46,WR,BUF,85 (8.1),8.1,101 (9.5),9.5,113 (10.5),10.5
100,Dalton Kincaid (7),Dalton Kincaid,7,TE14,TE,BUF,96 (8.12),8.12,104 (9.8),9.8,130 (11.10),11.10
101,Josh Downs (11),Josh Downs,11,WR47,WR,IND,87 (8.3),8.3,104 (9.8),9.8,113 (10.5),10.5
102,Cooper Kupp (8),Cooper Kupp,8,WR48,WR,SEA,94 (8.10),8.10,105 (9.9),9.9,118 (10.10),10.10
