overall,player_beta,player_name,bye_week,position_beta,position,team,Min,min_pos,adp_beta,adp,Max,max_pos
98,Tyrone Tracy (14),Tyrone Tracy,14,RB35,RB,NYG,75 (7.3),7.3,98 (9.2),9.2,126 (11.6),11.6
99,Cooper Kupp (8),Cooper Kupp,8,WR47,WR,SEA,74 (7.2),7.2,99 (9.3),9.3,144 (12.12),12.12
100,Matthew Golden (5),Matthew Golden,5,WR48,WR,GB,68 (6.8),6.8,100 (9.4),9.4,122 (11.2),11.2
101,Javonte Williams (10),Javonte Williams,10,RB36,RB,DAL,73 (7.1),7.1,102 (9.6),9.6,132 (11.12),11.12
102,Zach Charbonnet (8),Zach Charbonnet,8,RB37,RB,SEA,84 (7.12),7.12,103 (9.7),9.7,121 (11.1),11.1
103,Baker Mayfield (9),Baker Mayfield,9,QB7,QB,TB,64 (6.4),6.4,105 (9.9),9.9,152 (13.8),13.8
104,J.K. Dobbins (12),J.K. Dobbins,12,RB38,RB,DEN,61 (6.1),6.1,105 (9.9),9.9,127 (11.7),11.7
105,Jake Ferguson (10),Jake Ferguson,10,TE12,TE,DAL,78 (7.6),7.6,105 (9.9),9.9,130 (11.10),11.10
106,Dalton Kincaid (7),Dalton Kincaid,7,TE13,TE,BUF,67 (6.7),6.7,105 (9.9),9.9,129 (11.9),11.9
107,Michael Pittman (11),Michael Pittman,11,WR49,WR,IND,85 (8.1),8.1,107 (9.11),9.11,132 (11.12),11.12
108,Colston Loveland (5),Colston Loveland,5,TE14,TE,CHI,81 (7.9),7.9,110 (10.2),10.2,138 (12.6),12.6
109,Tyjae Spears (10),Tyjae Spears,10,RB39,RB,TEN,94 (8.10),8.10,111 (10.3),10.3,129 (11.9),11.9
110,Bo Nix (12),Bo Nix,12,QB8,QB,DEN,66 (6.6),6.6,111 (10.3),10.3,144 (12.12),12.12
111,Najee Harris (12),Najee Harris,12,RB40,RB,LAC,88 (8.4),8.4,113 (10.5),10.5,144 (12.12),12.12
112,Darnell Mooney (5),Darnell Mooney,5,WR50,WR,ATL,91 (8.7),8.7,114 (10.6),10.6,150 (13.6),13.6
113,Isaac Guerendo (14),Isaac Guerendo,14,RB41,RB,SF,88 (8.4),8.4,115 (10.7),10.7,142 (12.10),12.10
114,Keon Coleman (7),Keon Coleman,7,WR51,WR,BUF,74 (7.2),7.2,115 (10.7),10.7,142 (12.10),12.10
115,Kyler Murray (8),Kyler Murray,8,QB9,QB,ARI,75 (7.3),7.3,116 (10.8),10.8,147 (13.3),13.3
116,Bhayshul Tuten (8),Bhayshul Tuten,8,RB42,RB,JAC,94 (8.10),8.10,116 (10.8),10.8,153 (13.9),13.9
117,Rhamondre Stevenson (14),Rhamondre Stevenson,14,RB43,RB,NE,94 (8.10),8.10,117 (10.9),10.9,143 (12.11),12.11
118,Jayden Higgins (6),Jayden Higgins,6,WR52,WR,HOU,97 (9.1),9.1,117 (10.9),10.9,144 (12.12),12.12
119,Dallas Goedert (9),Dallas Goedert,9,TE15,TE,PHI,95 (8.11),8.11,119 (10.11),10.11,142 (12.10),12.10
120,Trey Benson (8),Trey Benson,8,RB44,RB,ARI,100 (9.4),9.4,121 (11.1),11.1,158 (14.2),14.2
121,Brandon Aiyuk (14),Brandon Aiyuk,14,WR53,WR,SF,95 (8.11),8.11,121 (11.1),11.1,161 (14.5),14.5
122,Dak Prescott (10),Dak Prescott,10,QB10,QB,DAL,86 (8.2),8.2,123 (11.3),11.3,167 (14.11),14.11
123,Ray Davis (7),Ray Davis,7,RB45,RB,BUF,100 (9.4),9.4,124 (11.4),11.4,153 (13.9),13.9
124,Jaydon Blue (10),Jaydon Blue,10,RB46,RB,DAL,92 (8.8),8.8,125 (11.5),11.5,155 (13.11),13.11
125,Kyle Pitts (5),Kyle Pitts,5,TE16,TE,ATL,89 (8.5),8.5,125 (11.5),11.5,159 (14.3),14.3
126,Jonnu Smith (5),Jonnu Smith,5,TE17,TE,PIT,69 (6.9),6.9,126 (11.6),11.6,164 (14.8),14.8
127,Justin Fields (9),Justin Fields,9,QB11,QB,NYJ,92 (8.8),8.8,127 (11.7),11.7,158 (14.2),14.2
128,Rachaad White (9),Rachaad White,9,RB47,RB,TB,109 (10.1),10.1,128 (11.8),11.8,152 (13.8),13.8
129,Isaiah Likely (7),Isaiah Likely,7,TE18,TE,BAL,104 (9.8),9.8,129 (11.9),11.9,167 (14.11),14.11
130,Tre’ Harris (12),Tre’ Harris,12,WR54,WR,LAC,77 (7.5),7.5,130 (11.10),11.10,174 (15.6),15.6
131,Luther Burden (5),Luther Burden,5,WR55,WR,CHI,105 (9.9),9.9,131 (11.11),11.11,162 (14.6),14.6
132,Austin Ekeler (12),Austin Ekeler,12,RB48,RB,WAS,97 (9.1),9.1,134 (12.2),12.2,177 (15.9),15.9
133,Jaylen Wright (12),Jaylen Wright,12,RB49,RB,MIA,84 (7.12),7.12,134 (12.2),12.2,158 (14.2),14.2
134,Brenton Strange (8),Brenton Strange,8,TE19,TE,JAC,92 (8.8),8.8,135 (12.3),12.3,168 (14.12),14.12
135,Christian Kirk (6),Christian Kirk,6,WR56,WR,HOU,100 (9.4),9.4,135 (12.3),12.3,161 (14.5),14.5
136,Rashid Shaheed (11),Rashid Shaheed,11,WR57,WR,NO,109 (10.1),10.1,138 (12.6),12.6,178 (15.10),15.10
137,Brock Purdy (14),Brock Purdy,14,QB12,QB,SF,109 (10.1),10.1,138 (12.6),12.6,180 (15.12),15.12
138,Caleb Williams (5),Caleb Williams,5,QB13,QB,CHI,94 (8.10),8.10,139 (12.7),12.7,172 (15.4),15.4
139,Tank Bigsby (8),Tank Bigsby,8,RB50,RB,JAC,101 (9.5),9.5,141 (12.9),12.9,173 (15.5),15.5
