overall,player_beta,player_name,bye_week,position_beta,position,team,Min,min_pos,adp_beta,adp,Max,max_pos
1,Ja’Marr Chase (10),Ja’Marr Chase,10,WR1,WR,CIN,1 (1.1),1.1,1 (1.1),1.1,3 (1.3),1.3
2,Bijan Robinson (5),Bijan Robinson,5,RB1,RB,ATL,1 (1.1),1.2,2 (1.2),1.2,5 (1.5),1.5
3,Jahmyr Gibbs (8),Jahmyr Gibbs,8,RB2,RB,DET,1 (1.1),1.4,4 (1.4),1.4,7 (1.7),1.7
4,CeeDee Lamb (10),CeeDee Lamb,10,WR2,WR,DAL,3 (1.3),1.5,5 (1.5),1.5,8 (1.8),1.8
5,Brock Bowers (8),Brock Bowers,8,TE1,TE,LV,1 (1.1),1.6,6 (1.6),1.6,10 (1.10),1.10
6,Justin Jefferson (6),Justin Jefferson,6,WR3,WR,MIN,2 (1.2),1.6,6 (1.6),1.6,11 (1.11),1.11
7,Saquon Barkley (9),Saquon Barkley,9,RB3,RB,PHI,2 (1.2),1.6,6 (1.6),1.6,9 (1.9),1.9
8,Christian McCaffrey (14),Christian McCaffrey,14,RB4,RB,SF,4 (1.4),1.8,8 (1.8),1.8,11 (1.11),1.11
9,Trey McBride (8),Trey McBride,8,TE2,TE,ARI,4 (1.4),1.11,11 (1.11),1.11,16 (2.4),2.4
10,Malik Nabers (14),Malik Nabers,14,WR4,WR,NYG,6 (1.6),1.11,11 (1.11),1.11,19 (2.7),2.7
11,De’Von Achane (12),De’Von Achane,12,RB5,RB,MIA,7 (1.7),1.12,12 (1.12),1.12,20 (2.8),2.8
12,Ashton Jeanty (8),Ashton Jeanty,8,RB6,RB,LV,7 (1.7),1.12,12 (1.12),1.12,18 (2.6),2.6
13,Amon-Ra St. Brown (8),Amon-Ra St. Brown,8,WR5,WR,DET,6 (1.6),2.1,13 (2.1),2.1,17 (2.5),2.5
14,Nico Collins (6),Nico Collins,6,WR6,WR,HOU,8 (1.8),2.2,14 (2.2),2.2,18 (2.6),2.6
15,Brian Thomas (8),Brian Thomas,8,WR7,WR,JAC,9 (1.9),2.3,15 (2.3),2.3,20 (2.8),2.8
16,Puka Nacua (8),Puka Nacua,8,WR8,WR,LAR,9 (1.9),2.4,16 (2.4),2.4,22 (2.10),2.10
17,Derrick Henry (7),Derrick Henry,7,RB7,RB,BAL,6 (1.6),2.4,16 (2.4),2.4,23 (2.11),2.11
18,Drake London (5),Drake London,5,WR9,WR,ATL,8 (1.8),2.6,18 (2.6),2.6,21 (2.9),2.9
19,Chase Brown (10),Chase Brown,10,RB8,RB,CIN,12 (1.12),2.6,18 (2.6),2.6,22 (2.10),2.10
20,Bucky Irving (9),Bucky Irving,9,RB9,RB,TB,11 (1.11),2.8,20 (2.8),2.8,27 (3.3),3.3
21,A.J. Brown (9),A.J. Brown,9,WR10,WR,PHI,13 (2.1),2.9,21 (2.9),2.9,28 (3.4),3.4
22,George Kittle (14),George Kittle,14,TE3,TE,SF,14 (2.2),2.11,23 (2.11),2.11,29 (3.5),3.5
23,Jonathan Taylor (11),Jonathan Taylor,11,RB10,RB,IND,17 (2.5),2.12,24 (2.12),2.12,29 (3.5),3.5
24,Josh Jacobs (5),Josh Jacobs,5,RB11,RB,GB,15 (2.3),2.12,24 (2.12),2.12,33 (3.9),3.9
25,Ladd McConkey (12),Ladd McConkey,12,WR11,WR,LAC,19 (2.7),2.12,24 (2.12),2.12,29 (3.5),3.5
26,Kyren Williams (8),Kyren Williams,8,RB12,RB,LAR,18 (2.6),3.3,27 (3.3),3.3,32 (3.8),3.8
