overall,player_beta,player_name,bye_week,position_beta,position,team,Min,min_pos,adp_beta,adp,Max,max_pos
21,Bucky Irving (9),Bucky Irving,9,RB9,RB,TB,13 (2.1),2.1,22 (2.10),2.10,31 (3.7),3.7
22,Ladd McConkey (12),Ladd McConkey,12,WR11,WR,LAC,13 (2.1),2.1,23 (2.11),2.11,29 (3.5),3.5
23,Jonathan Taylor (11),Jonathan Taylor,11,RB10,RB,IND,16 (2.4),2.4,23 (2.11),2.11,28 (3.4),3.4
24,Josh Jacobs (5),Josh Jacobs,5,RB11,RB,GB,8 (1.8),1.8,23 (2.11),2.11,30 (3.6),3.6
25,George Kittle (14),George Kittle,14,TE3,TE,SF,17 (2.5),2.5,24 (2.12),2.12,31 (3.7),3.7
26,Kyren Williams (8),Kyren Williams,8,RB12,RB,LAR,17 (2.5),2.5,27 (3.3),3.3,33 (3.9),3.9
27,Tyreek Hill (12),Tyreek Hill,12,WR12,WR,MIA,20 (2.8),2.8,28 (3.4),3.4,36 (3.12),3.12
28,Omarion Hampton (12),Omarion Hampton,12,RB13,RB,LAC,22 (2.10),2.10,29 (3.5),3.5,35 (3.11),3.11
29,Garrett Wilson (9),Garrett Wilson,9,WR13,WR,NYJ,22 (2.10),2.10,30 (3.6),3.6,36 (3.12),3.12
30,Tee Higgins (10),Tee Higgins,10,WR14,WR,CIN,23 (2.11),2.11,30 (3.6),3.6,35 (3.11),3.11
31,Jaxon Smith-Njigba (8),Jaxon Smith-Njigba,8,WR15,WR,SEA,24 (2.12),2.12,31 (3.7),3.7,40 (4.4),4.4
32,Lamar Jackson (7),Lamar Jackson,7,QB1,QB,BAL,23 (2.11),2.11,32 (3.8),3.8,42 (4.6),4.6
33,Kenneth Walker (8),Kenneth Walker,8,RB14,RB,SEA,29 (3.5),3.5,33 (3.9),3.9,44 (4.8),4.8
34,Josh Allen (7),Josh Allen,7,QB2,QB,BUF,25 (3.1),3.1,34 (3.10),3.10,43 (4.7),4.7
35,Breece Hall (9),Breece Hall,9,RB15,RB,NYJ,28 (3.4),3.4,35 (3.11),3.11,43 (4.7),4.7
36,Davante Adams (8),Davante Adams,8,WR16,WR,LAR,24 (2.12),2.12,36 (3.12),3.12,44 (4.8),4.8
37,Marvin Harrison (8),Marvin Harrison,8,WR17,WR,ARI,27 (3.3),3.3,38 (4.2),4.2,47 (4.11),4.11
38,Alvin Kamara (11),Alvin Kamara,11,RB16,RB,NO,30 (3.6),3.6,39 (4.3),4.3,51 (5.3),5.3
39,James Cook (7),James Cook,7,RB17,RB,BUF,31 (3.7),3.7,39 (4.3),4.3,46 (4.10),4.10
40,Mike Evans (9),Mike Evans,9,WR18,WR,TB,27 (3.3),3.3,41 (4.5),4.5,54 (5.6),5.6
41,Jayden Daniels (12),Jayden Daniels,12,QB3,QB,WAS,30 (3.6),3.6,41 (4.5),4.5,55 (5.7),5.7
42,Xavier Worthy (10),Xavier Worthy,10,WR19,WR,KC,33 (3.9),3.9,42 (4.6),4.6,52 (5.4),5.4
43,TreVeyon Henderson (14),TreVeyon Henderson,14,RB18,RB,NE,25 (3.1),3.1,44 (4.8),4.8,56 (5.8),5.8
44,Tetairoa McMillan (14),Tetairoa McMillan,14,WR20,WR,CAR,30 (3.6),3.6,44 (4.8),4.8,57 (5.9),5.9
45,DK Metcalf (5),DK Metcalf,5,WR21,WR,PIT,34 (3.10),3.10,46 (4.10),4.10,56 (5.8),5.8
46,Jalen Hurts (9),Jalen Hurts,9,QB4,QB,PHI,39 (4.3),4.3,47 (4.11),4.11,56 (5.8),5.8
47,Terry McLaurin (12),Terry McLaurin,12,WR22,WR,WAS,38 (4.2),4.2,48 (4.12),4.12,59 (5.11),5.11
48,DJ Moore (5),DJ Moore,5,WR23,WR,CHI,38 (4.2),4.2,48 (4.12),4.12,57 (5.9),5.9
49,Chuba Hubbard (14),Chuba Hubbard,14,RB19,RB,CAR,38 (4.2),4.2,50 (5.2),5.2,60 (5.12),5.12
50,Courtland Sutton (12),Courtland Sutton,12,WR24,WR,DEN,41 (4.5),4.5,51 (5.3),5.3,57 (5.9),5.9
51,Sam LaPorta (8),Sam LaPorta,8,TE4,TE,DET,35 (3.11),3.11,52 (5.4),5.4,65 (6.5),6.5
52,Joe Burrow (10),Joe Burrow,10,QB5,QB,CIN,37 (4.1),4.1,52 (5.4),5.4,73 (7.1),7.1
53,George Pickens (10),George Pickens,10,WR25,WR,DAL,42 (4.6),4.6,52 (5.4),5.4,68 (6.8),6.8
54,RJ Harvey (12),RJ Harvey,12,RB20,RB,DEN,37 (4.1),4.1,53 (5.5),5.5,68 (6.8),6.8
55,Rashee Rice (10),Rashee Rice,10,WR26,WR,KC,43 (4.7),4.7,55 (5.7),5.7,66 (6.6),6.6
56,James Conner (8),James Conner,8,RB21,RB,ARI,42 (4.6),4.6,55 (5.7),5.7,70 (6.10),6.10
57,Jameson Williams (8),Jameson Williams,8,WR27,WR,DET,47 (4.11),4.11,55 (5.7),5.7,65 (6.5),6.5
58,Calvin Ridley (10),Calvin Ridley,10,WR28,WR,TEN,46 (4.10),4.10,57 (5.9),5.9,68 (6.8),6.8
59,DeVonta Smith (9),DeVonta Smith,9,WR29,WR,PHI,49 (5.1),5.1,58 (5.10),5.10,67 (6.7),6.7
60,D’Andre Swift (5),D’Andre Swift,5,RB22,RB,CHI,37 (4.1),4.1,58 (5.10),5.10,68 (6.8),6.8
61,Travis Kelce (10),Travis Kelce,10,TE5,TE,KC,36 (3.12),3.12,60 (5.12),5.12,76 (7.4),7.4
62,T.J. Hockenson (6),T.J. Hockenson,6,TE6,TE,MIN,57 (5.9),5.9,63 (6.3),6.3,71 (6.11),6.11
63,Travis Hunter (8),Travis Hunter,8,WR30,WR,JAC,55 (5.7),5.7,64 (6.4),6.4,81 (7.9),7.9
64,Zay Flowers (7),Zay Flowers,7,WR31,WR,BAL,55 (5.7),5.7,65 (6.5),6.5,81 (7.9),7.9
65,Jaylen Waddle (12),Jaylen Waddle,12,WR32,WR,MIA,44 (4.8),4.8,65 (6.5),6.5,75 (7.3),7.3
66,Isiah Pacheco (10),Isiah Pacheco,10,RB23,RB,KC,54 (5.6),5.6,68 (6.8),6.8,82 (7.10),7.10
67,Kaleb Johnson (5),Kaleb Johnson,5,RB24,RB,PIT,55 (5.7),5.7,68 (6.8),6.8,84 (7.12),7.12
68,Jerry Jeudy (9),Jerry Jeudy,9,WR33,WR,CLE,60 (5.12),5.12,70 (6.10),6.10,89 (8.5),8.5
69,David Montgomery (8),David Montgomery,8,RB25,RB,DET,53 (5.5),5.5,71 (6.11),6.11,83 (7.11),7.11
70,Aaron Jones (6),Aaron Jones,6,RB26,RB,MIN,59 (5.11),5.11,71 (6.11),6.11,91 (8.7),8.7
71,Tony Pollard (10),Tony Pollard,10,RB27,RB,TEN,61 (6.1),6.1,72 (6.12),6.12,90 (8.6),8.6
72,Rome Odunze (5),Rome Odunze,5,WR34,WR,CHI,53 (5.5),5.5,74 (7.2),7.2,85 (8.1),8.1
73,Evan Engram (12),Evan Engram,12,TE7,TE,DEN,66 (6.6),6.6,74 (7.2),7.2,83 (7.11),7.11
74,Mark Andrews (7),Mark Andrews,7,TE8,TE,BAL,60 (5.12),5.12,74 (7.2),7.2,88 (8.4),8.4
75,Chris Olave (11),Chris Olave,11,WR35,WR,NO,62 (6.2),6.2,75 (7.3),7.3,89 (8.5),8.5
76,Stefon Diggs (14),Stefon Diggs,14,WR36,WR,NE,54 (5.6),5.6,75 (7.3),7.3,87 (8.3),8.3
77,Jakobi Meyers (8),Jakobi Meyers,8,WR37,WR,LV,65 (6.5),6.5,76 (7.4),7.4,93 (8.9),8.9
78,Ricky Pearsall (14),Ricky Pearsall,14,WR38,WR,SF,64 (6.4),6.4,77 (7.5),7.5,93 (8.9),8.9
79,Tyler Warren (11),Tyler Warren,11,TE9,TE,IND,62 (6.2),6.2,78 (7.6),7.6,95 (8.11),8.11
80,David Njoku (9),David Njoku,9,TE10,TE,CLE,66 (6.6),6.6,78 (7.6),7.6,93 (8.9),8.9
81,Emeka Egbuka (9),Emeka Egbuka,9,WR39,WR,TB,62 (6.2),6.2,79 (7.7),7.7,90 (8.6),8.6
82,Joe Mixon (6),Joe Mixon,6,RB28,RB,HOU,63 (6.3),6.3,83 (7.11),7.11,99 (9.3),9.3
83,Deebo Samuel (12),Deebo Samuel,12,WR40,WR,WAS,69 (6.9),6.9,83 (7.11),7.11,92 (8.8),8.8
84,Jordan Mason (6),Jordan Mason,6,RB29,RB,MIN,62 (6.2),6.2,85 (8.1),8.1,96 (8.12),8.12
85,Tyrone Tracy (14),Tyrone Tracy,14,RB30,RB,NYG,73 (7.1),7.1,85 (8.1),8.1,102 (9.6),9.6
86,Patrick Mahomes (10),Patrick Mahomes,10,QB6,QB,KC,62 (6.2),6.2,86 (8.2),8.2,103 (9.7),9.7
87,Brian Robinson (12),Brian Robinson,12,RB31,RB,WAS,67 (6.7),6.7,86 (8.2),8.2,101 (9.5),9.5
88,Jaylen Warren (5),Jaylen Warren,5,RB32,RB,PIT,77 (7.5),7.5,87 (8.3),8.3,101 (9.5),9.5
89,Jauan Jennings (14),Jauan Jennings,14,WR41,WR,SF,77 (7.5),7.5,88 (8.4),8.4,100 (9.4),9.4
90,Matthew Golden (5),Matthew Golden,5,WR42,WR,GB,79 (7.7),7.7,91 (8.7),8.7,106 (9.10),9.10
91,Jordan Addison (6),Jordan Addison,6,WR43,WR,MIN,74 (7.2),7.2,91 (8.7),8.7,101 (9.5),9.5
92,Travis Etienne (8),Travis Etienne,8,RB33,RB,JAC,79 (7.7),7.7,94 (8.10),8.10,106 (9.10),9.10
93,J.K. Dobbins (12),J.K. Dobbins,12,RB34,RB,DEN,83 (7.11),7.11,95 (8.11),8.11,107 (9.11),9.11
94,Chris Godwin (9),Chris Godwin,9,WR44,WR,TB,82 (7.10),7.10,95 (8.11),8.11,119 (10.11),10.11
95,Khalil Shakir (7),Khalil Shakir,7,WR45,WR,BUF,82 (7.10),7.10,96 (8.12),8.12,112 (10.4),10.4
96,Jake Ferguson (10),Jake Ferguson,10,TE11,TE,DAL,81 (7.9),7.9,97 (9.1),9.1,111 (10.3),10.3
97,Colston Loveland (5),Colston Loveland,5,TE12,TE,CHI,83 (7.11),7.11,98 (9.2),9.2,118 (10.10),10.10
98,Tucker Kraft (5),Tucker Kraft,5,TE13,TE,GB,83 (7.11),7.11,98 (9.2),9.2,117 (10.9),10.9
99,Jayden Reed (5),Jayden Reed,5,WR46,WR,GB,52 (5.4),5.4,100 (9.4),9.4,119 (10.11),10.11
100,Zach Charbonnet (8),Zach Charbonnet,8,RB35,RB,SEA,86 (8.2),8.2,102 (9.6),9.6,120 (10.12),10.12
101,Cooper Kupp (8),Cooper Kupp,8,WR47,WR,SEA,86 (8.2),8.2,104 (9.8),9.8,120 (10.12),10.12
102,Cam Skattebo (14),Cam Skattebo,14,RB36,RB,NYG,84 (7.12),7.12,105 (9.9),9.9,129 (11.9),11.9
103,Javonte Williams (10),Javonte Williams,10,RB37,RB,DAL,91 (8.7),8.7,105 (9.9),9.9,126 (11.6),11.6
104,Josh Downs (11),Josh Downs,11,WR48,WR,IND,85 (8.1),8.1,106 (9.10),9.10,128 (11.8),11.8
105,Dalton Kincaid (7),Dalton Kincaid,7,TE14,TE,BUF,87 (8.3),8.3,107 (9.11),9.11,128 (11.8),11.8
106,Jaydon Blue (10),Jaydon Blue,10,RB38,RB,DAL,85 (8.1),8.1,107 (9.11),9.11,125 (11.5),11.5
107,Bo Nix (12),Bo Nix,12,QB7,QB,DEN,72 (6.12),6.12,108 (9.12),9.12,137 (12.5),12.5
108,Baker Mayfield (9),Baker Mayfield,9,QB8,QB,TB,91 (8.7),8.7,112 (10.4),10.4,133 (12.1),12.1
109,Keon Coleman (7),Keon Coleman,7,WR49,WR,BUF,90 (8.6),8.6,113 (10.5),10.5,135 (12.3),12.3
110,Kyle Pitts (5),Kyle Pitts,5,TE15,TE,ATL,98 (9.2),9.2,113 (10.5),10.5,135 (12.3),12.3
111,Michael Pittman (11),Michael Pittman,11,WR50,WR,IND,100 (9.4),9.4,113 (10.5),10.5,131 (11.11),11.11
112,Tank Bigsby (8),Tank Bigsby,8,RB39,RB,JAC,97 (9.1),9.1,113 (10.5),10.5,135 (12.3),12.3
113,Tyjae Spears (10),Tyjae Spears,10,RB40,RB,TEN,85 (8.1),8.1,113 (10.5),10.5,172 (15.4),15.4
114,Dallas Goedert (9),Dallas Goedert,9,TE16,TE,PHI,100 (9.4),9.4,115 (10.7),10.7,136 (12.4),12.4
115,Jayden Higgins (6),Jayden Higgins,6,WR51,WR,HOU,101 (9.5),9.5,116 (10.8),10.8,142 (12.10),12.10
116,Rhamondre Stevenson (14),Rhamondre Stevenson,14,RB41,RB,NE,78 (7.6),7.6,116 (10.8),10.8,142 (12.10),12.10
117,Dak Prescott (10),Dak Prescott,10,QB9,QB,DAL,93 (8.9),8.9,117 (10.9),10.9,141 (12.9),12.9
118,Kyler Murray (8),Kyler Murray,8,QB10,QB,ARI,87 (8.3),8.3,120 (10.12),10.12,152 (13.8),13.8
119,Trey Benson (8),Trey Benson,8,RB42,RB,ARI,101 (9.5),9.5,120 (10.12),10.12,145 (13.1),13.1
120,Dylan Sampson (9),Dylan Sampson,9,RB43,RB,CLE,109 (10.1),10.1,121 (11.1),11.1,140 (12.8),12.8
121,Ray Davis (7),Ray Davis,7,RB44,RB,BUF,98 (9.2),9.2,123 (11.3),11.3,146 (13.2),13.2
122,Darnell Mooney (5),Darnell Mooney,5,WR52,WR,ATL,105 (9.9),9.9,124 (11.4),11.4,143 (12.11),12.11
123,Isaac Guerendo (14),Isaac Guerendo,14,RB45,RB,SF,107 (9.11),9.11,124 (11.4),11.4,143 (12.11),12.11
124,Braelon Allen (9),Braelon Allen,9,RB46,RB,NYJ,97 (9.1),9.1,125 (11.5),11.5,147 (13.3),13.3
125,Justin Fields (9),Justin Fields,9,QB11,QB,NYJ,49 (5.1),5.1,127 (11.7),11.7,167 (14.11),14.11
126,Luther Burden (5),Luther Burden,5,WR53,WR,CHI,110 (10.2),10.2,128 (11.8),11.8,147 (13.3),13.3
127,Brandon Aiyuk (14),Brandon Aiyuk,14,WR54,WR,SF,96 (8.12),8.12,129 (11.9),11.9,154 (13.10),13.10
128,Jerome Ford (9),Jerome Ford,9,RB47,RB,CLE,97 (9.1),9.1,129 (11.9),11.9,150 (13.6),13.6
129,Quinshon Judkins (9),Quinshon Judkins,9,RB48,RB,CLE,101 (9.5),9.5,130 (11.10),11.10,174 (15.6),15.6
130,Rachaad White (9),Rachaad White,9,RB49,RB,TB,110 (10.2),10.2,131 (11.11),11.11,175 (15.7),15.7
131,Christian Kirk (6),Christian Kirk,6,WR55,WR,HOU,110 (10.2),10.2,132 (11.12),11.12,148 (13.4),13.4
132,Bhayshul Tuten (8),Bhayshul Tuten,8,RB50,RB,JAC,105 (9.9),9.9,132 (11.12),11.12,165 (14.9),14.9
133,Rashid Shaheed (11),Rashid Shaheed,11,WR56,WR,NO,105 (9.9),9.9,133 (12.1),12.1,151 (13.7),13.7
134,Brenton Strange (8),Brenton Strange,8,TE17,TE,JAC,109 (10.1),10.1,134 (12.2),12.2,162 (14.6),14.6
135,Zach Ertz (12),Zach Ertz,12,TE18,TE,WAS,109 (10.1),10.1,134 (12.2),12.2,160 (14.4),14.4
136,Najee Harris (12),Najee Harris,12,RB51,RB,LAC,109 (10.1),10.1,137 (12.5),12.5,168 (14.12),14.12
137,Brock Purdy (14),Brock Purdy,14,QB12,QB,SF,115 (10.7),10.7,138 (12.6),12.6,164 (14.8),14.8
138,Austin Ekeler (12),Austin Ekeler,12,RB52,RB,WAS,109 (10.1),10.1,141 (12.9),12.9,170 (15.2),15.2
139,Drake Maye (14),Drake Maye,14,QB13,QB,NE,118 (10.10),10.10,141 (12.9),12.9,167 (14.11),14.11
140,Hunter Henry (14),Hunter Henry,14,TE19,TE,NE,125 (11.5),11.5,141 (12.9),12.9,164 (14.8),14.8
141,Jaylen Wright (12),Jaylen Wright,12,RB53,RB,MIA,111 (10.3),10.3,141 (12.9),12.9,164 (14.8),14.8
142,Keenan Allen (12),Keenan Allen,12,WR57,WR,LAC,103 (9.7),9.7,141 (12.9),12.9,181 (16.1),16.1
143,Caleb Williams (5),Caleb Williams,5,QB14,QB,CHI,116 (10.8),10.8,142 (12.10),12.10,166 (14.10),14.10
144,Tyler Allgeier (5),Tyler Allgeier,5,RB54,RB,ATL,124 (11.4),11.4,143 (12.11),12.11,169 (15.1),15.1
145,Marvin Mims (12),Marvin Mims,12,WR58,WR,DEN,115 (10.7),10.7,144 (12.12),12.12,176 (15.8),15.8
146,Nick Chubb (6),Nick Chubb,6,RB55,RB,HOU,129 (11.9),11.9,146 (13.2),13.2,169 (15.1),15.1
147,Isaiah Likely (7),Isaiah Likely,7,TE20,TE,BAL,81 (7.9),7.9,148 (13.4),13.4,187 (16.7),16.7
148,Jacory Croskey-Merritt (12),Jacory Croskey-Merritt,12,RB56,RB,WAS,126 (11.6),11.6,149 (13.5),13.5,176 (15.8),15.8
149,Tre’ Harris (12),Tre’ Harris,12,WR59,WR,LAC,116 (10.8),10.8,150 (13.6),13.6,184 (16.4),16.4
150,Cedric Tillman (9),Cedric Tillman,9,WR60,WR,CLE,121 (11.1),11.1,150 (13.6),13.6,176 (15.8),15.8
151,Jonnu Smith (5),Jonnu Smith,5,TE21,TE,PIT,121 (11.1),11.1,151 (13.7),13.7,178 (15.10),15.10
152,Hollywood Brown (10),Hollywood Brown,10,WR61,WR,KC,132 (11.12),11.12,154 (13.10),13.10,190 (16.10),16.10
153,Roschon Johnson (5),Roschon Johnson,5,RB57,RB,CHI,109 (10.1),10.1,154 (13.10),13.10,178 (15.10),15.10
154,DEN Team Defense (12),DEN Team Defense,12,DF1,DF,DEN,121 (11.1),11.1,155 (13.11),13.11,173 (15.5),15.5
155,Brandon Aubrey (10),Brandon Aubrey,10,PK1,PK,DAL,113 (10.5),10.5,156 (13.12),13.12,200 (17.8),17.8
156,DeMario Douglas (14),DeMario Douglas,14,WR62,WR,NE,136 (12.4),12.4,157 (14.1),14.1,182 (16.2),16.2
157,Jared Goff (8),Jared Goff,8,QB15,QB,DET,125 (11.5),11.5,157 (14.1),14.1,199 (17.7),17.7
158,Rashod Bateman (7),Rashod Bateman,7,WR63,WR,BAL,137 (12.5),12.5,158 (14.2),14.2,179 (15.11),15.11
159,Kyle Williams (14),Kyle Williams,14,WR64,WR,NE,128 (11.8),11.8,159 (14.3),14.3,199 (17.7),17.7
160,Justin Herbert (12),Justin Herbert,12,QB16,QB,LAC,125 (11.5),11.5,160 (14.4),14.4,197 (17.5),17.5
161,Joshua Palmer (7),Joshua Palmer,7,WR65,WR,BUF,134 (12.2),12.2,162 (14.6),14.6,214 (18.10),18.10
162,Will Shipley (9),Will Shipley,9,RB58,RB,PHI,140 (12.8),12.8,163 (14.7),14.7,186 (16.6),16.6
163,Woody Marks (6),Woody Marks,6,RB59,RB,HOU,145 (13.1),13.1,166 (14.10),14.10,191 (16.11),16.11
164,Mason Taylor (9),Mason Taylor,9,TE22,TE,NYJ,109 (10.1),10.1,166 (14.10),14.10,209 (18.5),18.5
165,Brashard Smith (10),Brashard Smith,10,RB60,RB,KC,137 (12.5),12.5,167 (14.11),14.11,215 (18.11),18.11
166,J.J. McCarthy (6),J.J. McCarthy,6,QB17,QB,MIN,140 (12.8),12.8,168 (14.12),14.12,236 (20.8),20.8
167,Tahj Brooks (10),Tahj Brooks,10,RB61,RB,CIN,150 (13.6),13.6,168 (14.12),14.12,186 (16.6),16.6
168,Chig Okonkwo (10),Chig Okonkwo,10,TE23,TE,TEN,136 (12.4),12.4,169 (15.1),15.1,209 (18.5),18.5
169,Rico Dowdle (14),Rico Dowdle,14,RB62,RB,CAR,147 (13.3),13.3,169 (15.1),15.1,210 (18.6),18.6
170,Elijah Arroyo (8),Elijah Arroyo,8,TE24,TE,SEA,132 (11.12),11.12,169 (15.1),15.1,231 (20.3),20.3
171,Jordan Love (5),Jordan Love,5,QB18,QB,GB,132 (11.12),11.12,169 (15.1),15.1,202 (17.10),17.10
172,Wan’Dale Robinson (14),Wan’Dale Robinson,14,WR66,WR,NYG,144 (12.12),12.12,171 (15.3),15.3,209 (18.5),18.5
173,Keaton Mitchell (7),Keaton Mitchell,7,RB63,RB,BAL,155 (13.11),13.11,172 (15.4),15.4,190 (16.10),16.10
174,C.J. Stroud (6),C.J. Stroud,6,QB19,QB,HOU,134 (12.2),12.2,174 (15.6),15.6,203 (17.11),17.11
175,Trevor Lawrence (8),Trevor Lawrence,8,QB20,QB,JAC,151 (13.7),13.7,177 (15.9),15.9,204 (17.12),17.12
176,Jarquez Hunter (8),Jarquez Hunter,8,RB64,RB,LAR,153 (13.9),13.9,180 (15.12),15.12,220 (19.4),19.4
177,Mike Gesicki (10),Mike Gesicki,10,TE25,TE,CIN,145 (13.1),13.1,180 (15.12),15.12,217 (19.1),19.1
178,Adam Thielen (14),Adam Thielen,14,WR67,WR,CAR,127 (11.7),11.7,182 (16.2),16.2,216 (18.12),18.12
179,Jalen McMillan (9),Jalen McMillan,9,WR68,WR,TB,140 (12.8),12.8,183 (16.3),16.3,204 (17.12),17.12
180,Romeo Doubs (5),Romeo Doubs,5,WR69,WR,GB,156 (13.12),13.12,183 (16.3),16.3,214 (18.10),18.10
181,Xavier Legette (14),Xavier Legette,14,WR70,WR,CAR,156 (13.12),13.12,183 (16.3),16.3,208 (18.4),18.4
182,BAL Team Defense (7),BAL Team Defense,7,DF2,DF,BAL,161 (14.5),14.5,184 (16.4),16.4,212 (18.8),18.8
183,Cade Otton (9),Cade Otton,9,TE26,TE,TB,145 (13.1),13.1,184 (16.4),16.4,235 (20.7),20.7
184,Blake Corum (8),Blake Corum,8,RB65,RB,LAR,144 (12.12),12.12,185 (16.5),16.5,209 (18.5),18.5
185,PHI Team Defense (9),PHI Team Defense,9,DF3,DF,PHI,104 (9.8),9.8,185 (16.5),16.5,220 (19.4),19.4
186,Miles Sanders (10),Miles Sanders,10,RB66,RB,DAL,156 (13.12),13.12,185 (16.5),16.5,228 (19.12),19.12
187,MarShawn Lloyd (5),MarShawn Lloyd,5,RB67,RB,GB,162 (14.6),14.6,187 (16.7),16.7,213 (18.9),18.9
188,PIT Team Defense (5),PIT Team Defense,5,DF4,DF,PIT,112 (10.4),10.4,187 (16.7),16.7,209 (18.5),18.5
189,Pat Bryant (12),Pat Bryant,12,WR71,WR,DEN,170 (15.2),15.2,188 (16.8),16.8,221 (19.5),19.5
190,DJ Giddens (11),DJ Giddens,11,RB68,RB,IND,163 (14.7),14.7,188 (16.8),16.8,212 (18.8),18.8
191,Kyle Monangai (5),Kyle Monangai,5,RB69,RB,CHI,166 (14.10),14.10,189 (16.9),16.9,218 (19.2),19.2
192,Darren Waller (12),Darren Waller,12,TE27,TE,MIA,144 (12.12),12.12,190 (16.10),16.10,224 (19.8),19.8
193,Quentin Johnston (12),Quentin Johnston,12,WR72,WR,LAC,156 (13.12),13.12,190 (16.10),16.10,230 (20.2),20.2
194,Dont’e Thornton (8),Dont’e Thornton,8,WR73,WR,LV,144 (12.12),12.12,192 (16.12),16.12,223 (19.7),19.7
195,Sean Tucker (9),Sean Tucker,9,RB70,RB,TB,145 (13.1),13.1,192 (16.12),16.12,240 (20.12),20.12
196,Jalen Royals (10),Jalen Royals,10,WR74,WR,KC,168 (14.12),14.12,195 (17.3),17.3,224 (19.8),19.8
197,Ja’Tavion Sanders (14),Ja’Tavion Sanders,14,TE28,TE,CAR,168 (14.12),14.12,195 (17.3),17.3,237 (20.9),20.9
198,Justice Hill (7),Justice Hill,7,RB71,RB,BAL,168 (14.12),14.12,197 (17.5),17.5,221 (19.5),19.5
199,Michael Penix (5),Michael Penix,5,QB21,QB,ATL,158 (14.2),14.2,197 (17.5),17.5,240 (20.12),20.12
200,HOU Team Defense (6),HOU Team Defense,6,DF5,DF,HOU,168 (14.12),14.12,198 (17.6),17.6,225 (19.9),19.9
201,Cameron Dicker (12),Cameron Dicker,12,PK2,PK,LAC,158 (14.2),14.2,198 (17.6),17.6,219 (19.3),19.3
202,MIN Team Defense (6),MIN Team Defense,6,DF6,DF,MIN,173 (15.5),15.5,198 (17.6),17.6,221 (19.5),19.5
203,Bryce Young (14),Bryce Young,14,QB22,QB,CAR,173 (15.5),15.5,199 (17.7),17.7,233 (20.5),20.5
204,Roman Wilson (5),Roman Wilson,5,WR75,WR,PIT,152 (13.8),13.8,200 (17.8),17.8,234 (20.6),20.6
205,Kareem Hunt (10),Kareem Hunt,10,RB72,RB,KC,168 (14.12),14.12,202 (17.10),17.10,234 (20.6),20.6
206,Pat Freiermuth (5),Pat Freiermuth,5,TE29,TE,PIT,173 (15.5),15.5,203 (17.11),17.11,235 (20.7),20.7
207,Andrei Iosivas (10),Andrei Iosivas,10,WR76,WR,CIN,181 (16.1),16.1,205 (18.1),18.1,237 (20.9),20.9
