overall,player_beta,player_name,bye_week,position_beta,position,team,Min,min_pos,adp_beta,adp,Max,max_pos
1,Ja’Marr Chase (10),Ja’Marr Chase,10,WR1,WR,CIN,1 (1.1),1.1,1 (1.1),1.1,2 (1.2),1.2
2,Bijan Robinson (5),Bijan Robinson,5,RB1,RB,ATL,1 (1.1),1.1,2 (1.2),1.2,4 (1.4),1.4
3,Jahmyr Gibbs (8),Jahmyr Gibbs,8,RB2,RB,DET,1 (1.1),1.1,4 (1.4),1.4,6 (1.6),1.6
4,CeeDee Lamb (10),CeeDee Lamb,10,WR2,WR,DAL,2 (1.2),1.2,5 (1.5),1.5,9 (1.9),1.9
5,Brock Bowers (8),Brock Bowers,8,TE1,TE,LV,1 (1.1),1.1,6 (1.6),1.6,17 (2.5),2.5
6,Saquon Barkley (9),Saquon Barkley,9,RB3,RB,PHI,2 (1.2),1.2,6 (1.6),1.6,10 (1.10),1.10
7,Justin Jefferson (6),Justin Jefferson,6,WR3,WR,MIN,2 (1.2),1.2,6 (1.6),1.6,9 (1.9),1.9
8,Christian McCaffrey (14),Christian McCaffrey,14,RB4,RB,SF,3 (1.3),1.3,8 (1.8),1.8,12 (1.12),1.12
9,Ashton Jeanty (8),Ashton Jeanty,8,RB5,RB,LV,4 (1.4),1.4,10 (1.10),1.10,17 (2.5),2.5
10,Trey McBride (8),Trey McBride,8,TE2,TE,ARI,5 (1.5),1.5,11 (1.11),1.11,19 (2.7),2.7
11,Malik Nabers (14),Malik Nabers,14,WR4,WR,NYG,6 (1.6),1.6,11 (1.11),1.11,17 (2.5),2.5
12,Nico Collins (6),Nico Collins,6,WR5,WR,HOU,10 (1.10),1.10,13 (2.1),2.1,18 (2.6),2.6
13,Amon-Ra St. Brown (8),Amon-Ra St. Brown,8,WR6,WR,FA,5 (1.5),1.5,13 (2.1),2.1,17 (2.5),2.5
14,Derrick Henry (7),Derrick Henry,7,RB6,RB,BAL,8 (1.8),1.8,14 (2.2),2.2,21 (2.9),2.9
15,Puka Nacua (8),Puka Nacua,8,WR7,WR,LAR,10 (1.10),1.10,15 (2.3),2.3,21 (2.9),2.9
16,Brian Thomas (8),Brian Thomas,8,WR8,WR,JAC,11 (1.11),1.11,15 (2.3),2.3,21 (2.9),2.9
17,Chase Brown (10),Chase Brown,10,RB7,RB,CIN,10 (1.10),1.10,17 (2.5),2.5,23 (2.11),2.11
18,De’Von Achane (12),De’Von Achane,12,RB8,RB,MIA,11 (1.11),1.11,18 (2.6),2.6,26 (3.2),3.2
19,Drake London (5),Drake London,5,WR9,WR,ATL,13 (2.1),2.1,18 (2.6),2.6,24 (2.12),2.12
20,Jonathan Taylor (11),Jonathan Taylor,11,RB9,RB,IND,13 (2.1),2.1,21 (2.9),2.9,26 (3.2),3.2
