overall,player_beta,player_name,bye_week,position_beta,position,team,Min,min_pos,adp_beta,adp,Max,max_pos
21,Bucky Irving (9),Bucky Irving,9,RB10,RB,TB,15 (2.3),2.3,21 (2.9),2.9,24 (2.12),2.12
22,A.J. Brown (9),A.J. Brown,9,WR10,WR,PHI,15 (2.3),2.3,23 (2.11),2.11,28 (3.4),3.4
23,Josh Jacobs (5),Josh Jacobs,5,RB11,RB,GB,15 (2.3),2.3,23 (2.11),2.11,28 (3.4),3.4
24,George Kittle (14),George Kittle,14,TE3,TE,SF,19 (2.7),2.7,24 (2.12),2.12,45 (4.9),4.9
25,Ladd McConkey (12),Ladd McConkey,12,WR11,WR,LAC,18 (2.6),2.6,25 (3.1),3.1,29 (3.5),3.5
26,Kyren Williams (8),Kyren Williams,8,RB12,RB,LAR,19 (2.7),2.7,26 (3.2),3.2,33 (3.9),3.9
27,Omarion Hampton (12),Omarion Hampton,12,RB13,RB,LAC,23 (2.11),2.11,28 (3.4),3.4,36 (3.12),3.12
28,Tee Higgins (10),Tee Higgins,10,WR12,WR,CIN,20 (2.8),2.8,30 (3.6),3.6,39 (4.3),4.3
29,Josh Allen (7),Josh Allen,7,QB1,QB,BUF,17 (2.5),2.5,30 (3.6),3.6,40 (4.4),4.4
30,Jaxon Smith-Njigba (8),Jaxon Smith-Njigba,8,WR13,WR,SEA,23 (2.11),2.11,31 (3.7),3.7,42 (4.6),4.6
31,TreVeyon Henderson (14),TreVeyon Henderson,14,RB14,RB,NE,23 (2.11),2.11,32 (3.8),3.8,43 (4.7),4.7
32,Lamar Jackson (7),Lamar Jackson,7,QB2,QB,BAL,19 (2.7),2.7,32 (3.8),3.8,41 (4.5),4.5
33,James Cook (7),James Cook,7,RB15,RB,BUF,26 (3.2),3.2,33 (3.9),3.9,43 (4.7),4.7
34,Kenneth Walker (8),Kenneth Walker,8,RB16,RB,SEA,26 (3.2),3.2,36 (3.12),3.12,47 (4.11),4.11
35,Tyreek Hill (12),Tyreek Hill,12,WR14,WR,MIA,22 (2.10),2.10,36 (3.12),3.12,45 (4.9),4.9
36,Mike Evans (9),Mike Evans,9,WR15,WR,TB,19 (2.7),2.7,38 (4.2),4.2,52 (5.4),5.4
37,Garrett Wilson (9),Garrett Wilson,9,WR16,WR,NYJ,23 (2.11),2.11,38 (4.2),4.2,49 (5.1),5.1
38,Jayden Daniels (12),Jayden Daniels,12,QB3,QB,WAS,28 (3.4),3.4,38 (4.2),4.2,51 (5.3),5.3
39,Alvin Kamara (11),Alvin Kamara,11,RB17,RB,NO,25 (3.1),3.1,39 (4.3),4.3,53 (5.5),5.5
40,Tetairoa McMillan (14),Tetairoa McMillan,14,WR17,WR,CAR,25 (3.1),3.1,41 (4.5),4.5,60 (5.12),5.12
41,Marvin Harrison (8),Marvin Harrison,8,WR18,WR,ARI,28 (3.4),3.4,41 (4.5),4.5,57 (5.9),5.9
42,Davante Adams (8),Davante Adams,8,WR19,WR,LAR,28 (3.4),3.4,42 (4.6),4.6,59 (5.11),5.11
43,Jalen Hurts (9),Jalen Hurts,9,QB4,QB,PHI,33 (3.9),3.9,44 (4.8),4.8,56 (5.8),5.8
44,Breece Hall (9),Breece Hall,9,RB18,RB,NYJ,34 (3.10),3.10,45 (4.9),4.9,56 (5.8),5.8
45,Terry McLaurin (12),Terry McLaurin,12,WR20,WR,WAS,30 (3.6),3.6,46 (4.10),4.10,58 (5.10),5.10
46,Joe Burrow (10),Joe Burrow,10,QB5,QB,CIN,31 (3.7),3.7,47 (4.11),4.11,64 (6.4),6.4
47,Courtland Sutton (12),Courtland Sutton,12,WR21,WR,DEN,37 (4.1),4.1,47 (4.11),4.11,57 (5.9),5.9
48,Xavier Worthy (10),Xavier Worthy,10,WR22,WR,KC,36 (3.12),3.12,47 (4.11),4.11,58 (5.10),5.10
49,Chuba Hubbard (14),Chuba Hubbard,14,RB19,RB,CAR,36 (3.12),3.12,51 (5.3),5.3,68 (6.8),6.8
50,DK Metcalf (5),DK Metcalf,5,WR23,WR,PIT,41 (4.5),4.5,51 (5.3),5.3,63 (6.3),6.3
51,RJ Harvey (12),RJ Harvey,12,RB20,RB,DEN,35 (3.11),3.11,51 (5.3),5.3,63 (6.3),6.3
52,George Pickens (10),George Pickens,10,WR24,WR,DAL,43 (4.7),4.7,52 (5.4),5.4,69 (6.9),6.9
53,James Conner (8),James Conner,8,RB21,RB,ARI,29 (3.5),3.5,54 (5.6),5.6,72 (6.12),6.12
54,DJ Moore (5),DJ Moore,5,WR25,WR,CHI,37 (4.1),4.1,56 (5.8),5.8,71 (6.11),6.11
55,Calvin Ridley (10),Calvin Ridley,10,WR26,WR,TEN,47 (4.11),4.11,56 (5.8),5.8,67 (6.7),6.7
56,Jameson Williams (8),Jameson Williams,8,WR27,WR,FA,46 (4.10),4.10,56 (5.8),5.8,68 (6.8),6.8
57,Sam LaPorta (8),Sam LaPorta,8,TE4,TE,FA,37 (4.1),4.1,57 (5.9),5.9,67 (6.7),6.7
58,Emeka Egbuka (9),Emeka Egbuka,9,WR28,WR,TB,48 (4.12),4.12,58 (5.10),5.10,72 (6.12),6.12
59,D’Andre Swift (5),D’Andre Swift,5,RB22,RB,CHI,44 (4.8),4.8,58 (5.10),5.10,70 (6.10),6.10
60,DeVonta Smith (9),DeVonta Smith,9,WR29,WR,PHI,43 (4.7),4.7,60 (5.12),5.12,77 (7.5),7.5
61,Tony Pollard (10),Tony Pollard,10,RB23,RB,TEN,38 (4.2),4.2,61 (6.1),6.1,73 (7.1),7.1
62,Travis Kelce (10),Travis Kelce,10,TE5,TE,KC,44 (4.8),4.8,62 (6.2),6.2,73 (7.1),7.1
63,Isiah Pacheco (10),Isiah Pacheco,10,RB24,RB,KC,37 (4.1),4.1,63 (6.3),6.3,79 (7.7),7.7
64,T.J. Hockenson (6),T.J. Hockenson,6,TE6,TE,MIN,47 (4.11),4.11,64 (6.4),6.4,75 (7.3),7.3
65,Ricky Pearsall (14),Ricky Pearsall,14,WR30,WR,SF,50 (5.2),5.2,65 (6.5),6.5,79 (7.7),7.7
66,Zay Flowers (7),Zay Flowers,7,WR31,WR,BAL,51 (5.3),5.3,66 (6.6),6.6,78 (7.6),7.6
67,Tyler Warren (11),Tyler Warren,11,TE7,TE,IND,37 (4.1),4.1,66 (6.6),6.6,78 (7.6),7.6
68,Jaylen Waddle (12),Jaylen Waddle,12,WR32,WR,MIA,52 (5.4),5.4,66 (6.6),6.6,79 (7.7),7.7
69,Travis Hunter (8),Travis Hunter,8,WR33,WR,JAC,59 (5.11),5.11,69 (6.9),6.9,101 (9.5),9.5
70,Rashee Rice (10),Rashee Rice,10,WR34,WR,KC,51 (5.3),5.3,71 (6.11),6.11,104 (9.8),9.8
71,Aaron Jones (6),Aaron Jones,6,RB25,RB,MIN,48 (4.12),4.12,73 (7.1),7.1,87 (8.3),8.3
72,David Njoku (9),David Njoku,9,TE8,TE,CLE,50 (5.2),5.2,73 (7.1),7.1,89 (8.5),8.5
73,David Montgomery (8),David Montgomery,8,RB26,RB,FA,56 (5.8),5.8,73 (7.1),7.1,88 (8.4),8.4
74,Jerry Jeudy (9),Jerry Jeudy,9,WR35,WR,CLE,59 (5.11),5.11,74 (7.2),7.2,89 (8.5),8.5
75,Evan Engram (12),Evan Engram,12,TE9,TE,DEN,64 (6.4),6.4,75 (7.3),7.3,85 (8.1),8.1
76,Rome Odunze (5),Rome Odunze,5,WR36,WR,CHI,61 (6.1),6.1,75 (7.3),7.3,86 (8.2),8.2
77,Matthew Golden (5),Matthew Golden,5,WR37,WR,GB,66 (6.6),6.6,78 (7.6),7.6,94 (8.10),8.10
78,Mark Andrews (7),Mark Andrews,7,TE10,TE,BAL,65 (6.5),6.5,78 (7.6),7.6,92 (8.8),8.8
79,Patrick Mahomes (10),Patrick Mahomes,10,QB6,QB,KC,43 (4.7),4.7,80 (7.8),7.8,101 (9.5),9.5
80,Deebo Samuel (12),Deebo Samuel,12,WR38,WR,WAS,61 (6.1),6.1,81 (7.9),7.9,98 (9.2),9.2
81,Tyrone Tracy (14),Tyrone Tracy,14,RB27,RB,NYG,72 (6.12),6.12,82 (7.10),7.10,97 (9.1),9.1
82,Chris Olave (11),Chris Olave,11,WR39,WR,NO,68 (6.8),6.8,82 (7.10),7.10,96 (8.12),8.12
83,Stefon Diggs (14),Stefon Diggs,14,WR40,WR,NE,61 (6.1),6.1,83 (7.11),7.11,100 (9.4),9.4
84,Jacory Croskey-Merritt (12),Jacory Croskey-Merritt,12,RB28,RB,WAS,63 (6.3),6.3,84 (7.12),7.12,96 (8.12),8.12
85,Zach Charbonnet (8),Zach Charbonnet,8,RB29,RB,SEA,63 (6.3),6.3,85 (8.1),8.1,97 (9.1),9.1
86,Kaleb Johnson (5),Kaleb Johnson,5,RB30,RB,PIT,61 (6.1),6.1,86 (8.2),8.2,104 (9.8),9.8
87,Jaylen Warren (5),Jaylen Warren,5,RB31,RB,PIT,73 (7.1),7.1,87 (8.3),8.3,103 (9.7),9.7
88,Jakobi Meyers (8),Jakobi Meyers,8,WR41,WR,LV,73 (7.1),7.1,88 (8.4),8.4,107 (9.11),9.11
89,Tucker Kraft (5),Tucker Kraft,5,TE11,TE,GB,63 (6.3),6.3,89 (8.5),8.5,106 (9.10),9.10
90,Jordan Addison (6),Jordan Addison,6,WR42,WR,MIN,74 (7.2),7.2,89 (8.5),8.5,112 (10.4),10.4
91,Jordan Mason (6),Jordan Mason,6,RB32,RB,MIN,74 (7.2),7.2,90 (8.6),8.6,104 (9.8),9.8
92,Colston Loveland (5),Colston Loveland,5,TE12,TE,CHI,75 (7.3),7.3,92 (8.8),8.8,113 (10.5),10.5
93,Bo Nix (12),Bo Nix,12,QB7,QB,DEN,51 (5.3),5.3,95 (8.11),8.11,128 (11.8),11.8
94,Travis Etienne (8),Travis Etienne,8,RB33,RB,JAC,81 (7.9),7.9,95 (8.11),8.11,110 (10.2),10.2
95,J.K. Dobbins (12),J.K. Dobbins,12,RB34,RB,DEN,83 (7.11),7.11,96 (8.12),8.12,107 (9.11),9.11
96,Michael Pittman (11),Michael Pittman,11,WR43,WR,IND,72 (6.12),6.12,97 (9.1),9.1,117 (10.9),10.9
97,Jake Ferguson (10),Jake Ferguson,10,TE13,TE,DAL,83 (7.11),7.11,99 (9.3),9.3,123 (11.3),11.3
98,Jauan Jennings (14),Jauan Jennings,14,WR44,WR,SF,74 (7.2),7.2,99 (9.3),9.3,131 (11.11),11.11
99,Keon Coleman (7),Keon Coleman,7,WR45,WR,BUF,82 (7.10),7.10,100 (9.4),9.4,116 (10.8),10.8
100,Cooper Kupp (8),Cooper Kupp,8,WR46,WR,SEA,86 (8.2),8.2,104 (9.8),9.8,124 (11.4),11.4
101,Dalton Kincaid (7),Dalton Kincaid,7,TE14,TE,BUF,85 (8.1),8.1,104 (9.8),9.8,124 (11.4),11.4
102,Cam Skattebo (14),Cam Skattebo,14,RB35,RB,NYG,86 (8.2),8.2,105 (9.9),9.9,119 (10.11),10.11
103,Braelon Allen (9),Braelon Allen,9,RB36,RB,NYJ,87 (8.3),8.3,105 (9.9),9.9,127 (11.7),11.7
104,Baker Mayfield (9),Baker Mayfield,9,QB8,QB,TB,49 (5.1),5.1,106 (9.10),9.10,141 (12.9),12.9
105,Khalil Shakir (7),Khalil Shakir,7,WR47,WR,BUF,84 (7.12),7.12,106 (9.10),9.10,121 (11.1),11.1
106,Javonte Williams (10),Javonte Williams,10,RB37,RB,DAL,84 (7.12),7.12,107 (9.11),9.11,126 (11.6),11.6
107,Josh Downs (11),Josh Downs,11,WR48,WR,IND,91 (8.7),8.7,107 (9.11),9.11,130 (11.10),11.10
108,Dak Prescott (10),Dak Prescott,10,QB9,QB,DAL,90 (8.6),8.6,111 (10.3),10.3,144 (12.12),12.12
109,Bhayshul Tuten (8),Bhayshul Tuten,8,RB38,RB,JAC,97 (9.1),9.1,111 (10.3),10.3,134 (12.2),12.2
110,Austin Ekeler (12),Austin Ekeler,12,RB39,RB,WAS,85 (8.1),8.1,112 (10.4),10.4,136 (12.4),12.4
111,Kyle Pitts (5),Kyle Pitts,5,TE15,TE,ATL,86 (8.2),8.2,112 (10.4),10.4,156 (13.12),13.12
112,Jayden Reed (5),Jayden Reed,5,WR49,WR,GB,94 (8.10),8.10,114 (10.6),10.6,131 (11.11),11.11
113,Quinshon Judkins (9),Quinshon Judkins,9,RB40,RB,CLE,96 (8.12),8.12,115 (10.7),10.7,153 (13.9),13.9
114,Trey Benson (8),Trey Benson,8,RB41,RB,ARI,97 (9.1),9.1,115 (10.7),10.7,134 (12.2),12.2
115,Joe Mixon (6),Joe Mixon,6,RB42,RB,HOU,91 (8.7),8.7,116 (10.8),10.8,153 (13.9),13.9
116,Chris Godwin (9),Chris Godwin,9,WR50,WR,TB,93 (8.9),8.9,117 (10.9),10.9,143 (12.11),12.11
117,Dallas Goedert (9),Dallas Goedert,9,TE16,TE,PHI,93 (8.9),8.9,118 (10.10),10.10,146 (13.2),13.2
118,Jaydon Blue (10),Jaydon Blue,10,RB43,RB,DAL,91 (8.7),8.7,118 (10.10),10.10,139 (12.7),12.7
119,Kyler Murray (8),Kyler Murray,8,QB10,QB,ARI,67 (6.7),6.7,119 (10.11),10.11,152 (13.8),13.8
120,Dylan Sampson (9),Dylan Sampson,9,RB44,RB,CLE,96 (8.12),8.12,122 (11.2),11.2,142 (12.10),12.10
121,Tank Bigsby (8),Tank Bigsby,8,RB45,RB,JAC,105 (9.9),9.9,122 (11.2),11.2,140 (12.8),12.8
122,Jayden Higgins (6),Jayden Higgins,6,WR51,WR,HOU,107 (9.11),9.11,124 (11.4),11.4,157 (14.1),14.1
123,Christian Kirk (6),Christian Kirk,6,WR52,WR,HOU,99 (9.3),9.3,124 (11.4),11.4,145 (13.1),13.1
124,Rashid Shaheed (11),Rashid Shaheed,11,WR53,WR,NO,103 (9.7),9.7,126 (11.6),11.6,148 (13.4),13.4
125,Rhamondre Stevenson (14),Rhamondre Stevenson,14,RB46,RB,NE,94 (8.10),8.10,127 (11.7),11.7,151 (13.7),13.7
126,Nick Chubb (6),Nick Chubb,6,RB47,RB,HOU,93 (8.9),8.9,127 (11.7),11.7,156 (13.12),13.12
127,Luther Burden (5),Luther Burden,5,WR54,WR,CHI,98 (9.2),9.2,128 (11.8),11.8,153 (13.9),13.9
128,Keenan Allen (12),Keenan Allen,12,WR55,WR,LAC,99 (9.3),9.3,129 (11.9),11.9,156 (13.12),13.12
129,Ollie Gordon (12),Ollie Gordon,12,RB48,RB,MIA,97 (9.1),9.1,131 (11.11),11.11,161 (14.5),14.5
130,Brock Purdy (14),Brock Purdy,14,QB11,QB,SF,73 (7.1),7.1,131 (11.11),11.11,164 (14.8),14.8
131,Marvin Mims (12),Marvin Mims,12,WR56,WR,DEN,89 (8.5),8.5,132 (11.12),11.12,156 (13.12),13.12
132,Brenton Strange (8),Brenton Strange,8,TE17,TE,JAC,105 (9.9),9.9,133 (12.1),12.1,160 (14.4),14.4
133,Zach Ertz (12),Zach Ertz,12,TE18,TE,WAS,92 (8.8),8.8,135 (12.3),12.3,153 (13.9),13.9
134,Brian Robinson (14),Brian Robinson,14,RB49,RB,SF,99 (9.3),9.3,135 (12.3),12.3,156 (13.12),13.12
135,Drake Maye (14),Drake Maye,14,QB12,QB,NE,114 (10.6),10.6,136 (12.4),12.4,166 (14.10),14.10
136,Darnell Mooney (5),Darnell Mooney,5,WR57,WR,ATL,98 (9.2),9.2,138 (12.6),12.6,201 (17.9),17.9
137,Ray Davis (7),Ray Davis,7,RB50,RB,BUF,110 (10.2),10.2,138 (12.6),12.6,157 (14.1),14.1
138,Justin Fields (9),Justin Fields,9,QB13,QB,NYJ,104 (9.8),9.8,139 (12.7),12.7,177 (15.9),15.9
139,Hunter Henry (14),Hunter Henry,14,TE19,TE,NE,109 (10.1),10.1,140 (12.8),12.8,183 (16.3),16.3
140,Caleb Williams (5),Caleb Williams,5,QB14,QB,CHI,115 (10.7),10.7,141 (12.9),12.9,182 (16.2),16.2
141,Tyjae Spears (10),Tyjae Spears,10,RB51,RB,TEN,118 (10.10),10.10,142 (12.10),12.10,197 (17.5),17.5
142,Tyler Allgeier (5),Tyler Allgeier,5,RB52,RB,ATL,109 (10.1),10.1,142 (12.10),12.10,180 (15.12),15.12
143,Rachaad White (9),Rachaad White,9,RB53,RB,TB,121 (11.1),11.1,144 (12.12),12.12,167 (14.11),14.11
144,Najee Harris (12),Najee Harris,12,RB54,RB,LAC,96 (8.12),8.12,146 (13.2),13.2,184 (16.4),16.4
145,Jerome Ford (9),Jerome Ford,9,RB55,RB,CLE,96 (8.12),8.12,147 (13.3),13.3,178 (15.10),15.10
146,Brandon Aiyuk (14),Brandon Aiyuk,14,WR58,WR,SF,121 (11.1),11.1,147 (13.3),13.3,207 (18.3),18.3
147,Woody Marks (6),Woody Marks,6,RB56,RB,HOU,111 (10.3),10.3,148 (13.4),13.4,186 (16.6),16.6
148,Chig Okonkwo (10),Chig Okonkwo,10,TE20,TE,TEN,109 (10.1),10.1,149 (13.5),13.5,179 (15.11),15.11
149,Cedric Tillman (9),Cedric Tillman,9,WR59,WR,CLE,118 (10.10),10.10,150 (13.6),13.6,182 (16.2),16.2
150,Rashod Bateman (7),Rashod Bateman,7,WR60,WR,BAL,121 (11.1),11.1,152 (13.8),13.8,186 (16.6),16.6
151,Keaton Mitchell (7),Keaton Mitchell,7,RB57,RB,BAL,130 (11.10),11.10,154 (13.10),13.10,191 (16.11),16.11
152,Will Shipley (9),Will Shipley,9,RB58,RB,PHI,126 (11.6),11.6,155 (13.11),13.11,180 (15.12),15.12
153,Brandon Aubrey (10),Brandon Aubrey,10,PK1,PK,DAL,104 (9.8),9.8,155 (13.11),13.11,192 (16.12),16.12
154,Mason Taylor (9),Mason Taylor,9,TE21,TE,NYJ,124 (11.4),11.4,156 (13.12),13.12,188 (16.8),16.8
155,Joshua Palmer (7),Joshua Palmer,7,WR61,WR,BUF,106 (9.10),9.10,156 (13.12),13.12,184 (16.4),16.4
156,DEN Team Defense (12),DEN Team Defense,12,DF1,DF,DEN,116 (10.8),10.8,157 (14.1),14.1,183 (16.3),16.3
157,Jared Goff (8),Jared Goff,8,QB15,QB,FA,126 (11.6),11.6,158 (14.2),14.2,181 (16.1),16.1
158,Justin Herbert (12),Justin Herbert,12,QB16,QB,LAC,130 (11.10),11.10,159 (14.3),14.3,214 (18.10),18.10
159,Isaiah Likely (7),Isaiah Likely,7,TE22,TE,BAL,137 (12.5),12.5,159 (14.3),14.3,211 (18.7),18.7
160,Hollywood Brown (10),Hollywood Brown,10,WR62,WR,KC,120 (10.12),10.12,160 (14.4),14.4,200 (17.8),17.8
161,DeMario Douglas (14),DeMario Douglas,14,WR63,WR,NE,108 (9.12),9.12,161 (14.5),14.5,194 (17.2),17.2
162,J.J. McCarthy (6),J.J. McCarthy,6,QB17,QB,MIN,109 (10.1),10.1,162 (14.6),14.6,192 (16.12),16.12
163,Jonnu Smith (5),Jonnu Smith,5,TE23,TE,PIT,105 (9.9),9.9,163 (14.7),14.7,205 (18.1),18.1
164,Trevor Lawrence (8),Trevor Lawrence,8,QB18,QB,JAC,135 (12.3),12.3,163 (14.7),14.7,207 (18.3),18.3
165,Cade Otton (9),Cade Otton,9,TE24,TE,TB,119 (10.11),10.11,164 (14.8),14.8,209 (18.5),18.5
166,Rico Dowdle (14),Rico Dowdle,14,RB59,RB,CAR,137 (12.5),12.5,165 (14.9),14.9,186 (16.6),16.6
167,Chris Rodriguez (12),Chris Rodriguez,12,RB60,RB,WAS,120 (10.12),10.12,166 (14.10),14.10,199 (17.7),17.7
168,Wan’Dale Robinson (14),Wan’Dale Robinson,14,WR64,WR,NYG,120 (10.12),10.12,168 (14.12),14.12,212 (18.8),18.8
169,Tahj Brooks (10),Tahj Brooks,10,RB61,RB,CIN,133 (12.1),12.1,170 (15.2),15.2,206 (18.2),18.2
170,C.J. Stroud (6),C.J. Stroud,6,QB19,QB,HOU,137 (12.5),12.5,171 (15.3),15.3,214 (18.10),18.10
171,Jordan Love (5),Jordan Love,5,QB20,QB,GB,139 (12.7),12.7,172 (15.4),15.4,217 (19.1),19.1
172,Dont’e Thornton (8),Dont’e Thornton,8,WR65,WR,LV,117 (10.9),10.9,174 (15.6),15.6,235 (20.7),20.7
173,DJ Giddens (11),DJ Giddens,11,RB62,RB,IND,146 (13.2),13.2,175 (15.7),15.7,214 (18.10),18.10
174,Harold Fannin (9),Harold Fannin,9,TE25,TE,CLE,135 (12.3),12.3,175 (15.7),15.7,233 (20.5),20.5
175,Adam Thielen (14),Adam Thielen,14,WR66,WR,CAR,135 (12.3),12.3,177 (15.9),15.9,225 (19.9),19.9
176,Kyle Williams (14),Kyle Williams,14,WR67,WR,NE,139 (12.7),12.7,180 (15.12),15.12,224 (19.8),19.8
177,Kyle Monangai (5),Kyle Monangai,5,RB63,RB,CHI,148 (13.4),13.4,181 (16.1),16.1,216 (18.12),18.12
178,BAL Team Defense (7),BAL Team Defense,7,DF2,DF,BAL,150 (13.6),13.6,182 (16.2),16.2,222 (19.6),19.6
179,Jaylen Wright (12),Jaylen Wright,12,RB64,RB,MIA,153 (13.9),13.9,182 (16.2),16.2,233 (20.5),20.5
180,Blake Corum (8),Blake Corum,8,RB65,RB,LAR,141 (12.9),12.9,182 (16.2),16.2,223 (19.7),19.7
181,PHI Team Defense (9),PHI Team Defense,9,DF3,DF,PHI,149 (13.5),13.5,183 (16.3),16.3,207 (18.3),18.3
182,Xavier Legette (14),Xavier Legette,14,WR68,WR,CAR,132 (11.12),11.12,184 (16.4),16.4,220 (19.4),19.4
183,Brashard Smith (10),Brashard Smith,10,RB66,RB,KC,145 (13.1),13.1,185 (16.5),16.5,237 (20.9),20.9
184,PIT Team Defense (5),PIT Team Defense,5,DF4,DF,PIT,152 (13.8),13.8,186 (16.6),16.6,222 (19.6),19.6
185,Romeo Doubs (5),Romeo Doubs,5,WR69,WR,GB,145 (13.1),13.1,186 (16.6),16.6,224 (19.8),19.8
186,Mike Gesicki (10),Mike Gesicki,10,TE26,TE,CIN,142 (12.10),12.10,187 (16.7),16.7,223 (19.7),19.7
187,Tre’ Harris (12),Tre’ Harris,12,WR70,WR,LAC,139 (12.7),12.7,187 (16.7),16.7,224 (19.8),19.8
188,Cameron Dicker (12),Cameron Dicker,12,PK2,PK,LAC,139 (12.7),12.7,189 (16.9),16.9,218 (19.2),19.2
189,Pat Bryant (12),Pat Bryant,12,WR71,WR,DEN,124 (11.4),11.4,189 (16.9),16.9,235 (20.7),20.7
190,Isaac Guerendo (14),Isaac Guerendo,14,RB67,RB,SF,128 (11.8),11.8,190 (16.10),16.10,238 (20.10),20.10
191,Kendre Miller (11),Kendre Miller,11,RB68,RB,NO,165 (14.9),14.9,190 (16.10),16.10,226 (19.10),19.10
192,Elijah Arroyo (8),Elijah Arroyo,8,TE27,TE,SEA,159 (14.3),14.3,191 (16.11),16.11,234 (20.6),20.6
193,Isaac TeSlaa (8),Isaac TeSlaa,8,WR72,WR,FA,148 (13.4),13.4,192 (16.12),16.12,240 (20.12),20.12
194,Roschon Johnson (5),Roschon Johnson,5,RB69,RB,CHI,161 (14.5),14.5,192 (16.12),16.12,236 (20.8),20.8
195,Michael Penix (5),Michael Penix,5,QB21,QB,ATL,157 (14.1),14.1,192 (16.12),16.12,239 (20.11),20.11
196,Darren Waller (12),Darren Waller,12,TE28,TE,MIA,165 (14.9),14.9,194 (17.2),17.2,238 (20.10),20.10
197,Sean Tucker (9),Sean Tucker,9,RB70,RB,TB,157 (14.1),14.1,194 (17.2),17.2,226 (19.10),19.10
198,HOU Team Defense (6),HOU Team Defense,6,DF5,DF,HOU,158 (14.2),14.2,197 (17.5),17.5,227 (19.11),19.11
199,Jarquez Hunter (8),Jarquez Hunter,8,RB71,RB,LAR,172 (15.4),15.4,198 (17.6),17.6,240 (20.12),20.12
200,Kareem Hunt (10),Kareem Hunt,10,RB72,RB,KC,148 (13.4),13.4,198 (17.6),17.6,235 (20.7),20.7
201,Amari Cooper (8),Amari Cooper,8,WR73,WR,LV,140 (12.8),12.8,198 (17.6),17.6,237 (20.9),20.9
202,Dameon Pierce (6),Dameon Pierce,6,RB73,RB,HOU,159 (14.3),14.3,199 (17.7),17.7,234 (20.6),20.6
203,Oronde Gadsden (12),Oronde Gadsden,12,TE29,TE,LAC,200 (17.8),17.8,200 (17.8),17.8,200 (17.8),17.8
204,Theo Johnson (14),Theo Johnson,14,TE30,TE,NYG,157 (14.1),14.1,201 (17.9),17.9,236 (20.8),20.8
205,Troy Franklin (12),Troy Franklin,12,WR74,WR,DEN,155 (13.11),13.11,201 (17.9),17.9,239 (20.11),20.11
206,Jaylin Noel (6),Jaylin Noel,6,WR75,WR,HOU,180 (15.12),15.12,201 (17.9),17.9,212 (18.8),18.8
207,Tory Horton (8),Tory Horton,8,WR76,WR,SEA,169 (15.1),15.1,202 (17.10),17.10,239 (20.11),20.11
